,Company Name,Address,Website,Phone
0,S-Amden Group of Companies,"Hassan Ali Effendi Building Hassan Ali Lane, Post Box No.268, M.A Jinnah Road.Karachi-Pakistan",https://www.s-amden.com/,+922132634079
1,thebalm.pk,Tariq Road,https://www.thebalm.pk/,+922134322287
2,Hamza Waqar Enterprises,I.I chundrigar road,http://www.hamzawaqar.com/,+922132401958
3,Dr. Shouket Dental Clinic,Opposite Paradise Bakery,http://facebook.com/DRSHOUKET,+922134650755
4,Pak Battery Store,M. A. Jinnah Road,http://pak-battery-store.business.site/,+922132424842
5,The Dentist,"B-S-2, Gulshan e Mustafa، Near Madina Musjid، Behind UBL Complex &amp; Custom Club",http://www.thedentist.com.pk/,+922136370651
6,Fatima Dental Hospital,Khalid Bin Walid Road,http://www.smile.com.pk/,+922134549684
7,Barkat Clinic and Dental Surgery,Sahba Akhtar Road,https://barkat-clinic-and-dental-surgery.business.site/,+923212661979
8,The Dental Clinic Dr. Saqib Minhas & Associates,"Rashid Minhas Road, Gulshan e Iqbal, Karachi, Pakistan.",http://thedentalclinic.com.pk/,+923312048149
9,Hammad Dental Care,Shahjahan Avenue,https://hammaddentalcare.com/,+923353399091
10,Dr M SIKANDER JANGDA DENTAL CLINIC,Shaheen Ground,http://www.jangdaclinic.com/,+922134940575
11,Saeed Ghani,Manzar-e-Alam Road,http://www.saeedghani.pk/,+922134321059
12,Saeed Ghani Gulberg Outlet,,,
