,Company Name,Address,Website,Phone
0,Family Cosmetic & Implant Dentistry of Brooklyn,"2148 Ocean Ave, Ste 401",https://www.dentistinbrooklyn.com,+17183398852
1,Broadway Family Dental,1152 Broadway,https://www.broadwayfamilydentalpc.com,+17184554400
2,LuxDen Dental Center,2579 East 17th Street #11,https://www.luxden.com/,+17183823444
3,Envy Smile Dental Spa,1738 E 13th St,https://www.envysmile.com,+17188910606
4,505 Dental Associates,505 Claremont Parkway,https://www.bronx-ny-dentist.com,+17182993600
5,Soho Smile,"206 Spring Street, 5th Floor,",https://www.sohosmile.com,+12123347330
6,CitiDental,105-46 Cross Bay Blvd,https://www.citidental.com,+17188658111
7,Esthetix Dental Spa,285 fort washington Ave,https://www.esthetixdentalspa.com/,+12127959675
8,Dr. Bernard Fialkoff DDS,56-03 214th St,https://baysidedentist.com/,+17182293838
9,Cosmetic Market,East 37th Street 15,http://www.cosmeticmarketnyc.com/,+12127253625
10,Manhattan Dermatology Specialists,"51 East 25th Street, Ste 411",https://www.manhattandermatologistsnyc.com,+12128892402
11,Cosmetic Executive Women,West 25th Street 159,http://www.cew.org/,+12126855955
12,Cosmetic Industries Inc,West 39th Street 108,http://www.cosmeticindustries.com/,+12125755075
13,Rockefeller Cosmetic Dentistry,5th Avenue 630,https://cosmeticdentistsnewyorkcity.com/rockefeller-cosmetic-dentistry/,+12125811091
14,Midtown Cosmetic Dental,Madison Avenue 425,http://www.midtowncosmeticdental.com/,+12128684657
15,DG Dental & Cosmetic,West 49th Street 367,http://www.dgdentalandcosmetic.com/,+12123677120
16,Cosmetic Dentistry Center,4th Avenue 7708,https://www.cosmeticdentistrycenter.com/,+17184913100
17,Cosmetic Dentist NYC,Central Park South 30,http://www.cosmeticdentistnyc.co/,+16467988008
18,Hoboken Cosmetic Dentistry,Washington Street 233,http://hobokencosmeticdentistry.com/,+12017952111
19,Cosmetic Dental Studios,Madison Avenue 509,http://veytsmandds.com/,+12127596700
20,NYC Cosmetic Dermatology,East 55th Street 110,http://www.schweigerderm.com/,+12122030903
21,Cosmetic Medical Partners,Wendover Road 51,http://www.cosmeticmedicalpartners.com/,+17182686060
22,Greenberg Cosmetic Surgery,East 72nd Street 45,http://www.greenbergcosmeticsurgery.com/,+12123194999
23,International Cosmetic Surgery,Park Avenue 620,http://caplesesne.com/,+12125706318
24,Cosmetic Dentist Park Slope,Union Street 857,http://www.ismile-dds.com/,+19293378617
